"","species","culmen_length_mm","body_mass_g"
"152","Gentoo",46.1,4500
"153","Gentoo",50,5700
"154","Gentoo",48.7,4450
"155","Gentoo",50,5700
"156","Gentoo",47.6,5400
"157","Gentoo",46.5,4550
"158","Gentoo",45.4,4800
"159","Gentoo",46.7,5200
"160","Gentoo",43.3,4400
"161","Gentoo",46.8,5150
"162","Gentoo",40.9,4650
"163","Gentoo",49,5550
"164","Gentoo",45.5,4650
"165","Gentoo",48.4,5850
"166","Gentoo",45.8,4200
"167","Gentoo",49.3,5850
"168","Gentoo",42,4150
"169","Gentoo",49.2,6300
"170","Gentoo",46.2,4800
"171","Gentoo",48.7,5350
"172","Gentoo",50.2,5700
"173","Gentoo",45.1,5000
"174","Gentoo",46.5,4400
"175","Gentoo",46.3,5050
"176","Gentoo",42.9,5000
"177","Gentoo",46.1,5100
"178","Gentoo",44.5,4100
"179","Gentoo",47.8,5650
"180","Gentoo",48.2,4600
"181","Gentoo",50,5550
"182","Gentoo",47.3,5250
"183","Gentoo",42.8,4700
"184","Gentoo",45.1,5050
"185","Gentoo",59.6,6050
"186","Gentoo",49.1,5150
"187","Gentoo",48.4,5400
"188","Gentoo",42.6,4950
"189","Gentoo",44.4,5250
"190","Gentoo",44,4350
"191","Gentoo",48.7,5350
"192","Gentoo",42.7,3950
"193","Gentoo",49.6,5700
"194","Gentoo",45.3,4300
"195","Gentoo",49.6,4750
"196","Gentoo",50.5,5550
"197","Gentoo",43.6,4900
"198","Gentoo",45.5,4200
"199","Gentoo",50.5,5400
"200","Gentoo",44.9,5100
"201","Gentoo",45.2,5300
"202","Gentoo",46.6,4850
"203","Gentoo",48.5,5300
"204","Gentoo",45.1,4400
"205","Gentoo",50.1,5000
"206","Gentoo",46.5,4900
"207","Gentoo",45,5050
"208","Gentoo",43.8,4300
"209","Gentoo",45.5,5000
"210","Gentoo",43.2,4450
"211","Gentoo",50.4,5550
"212","Gentoo",45.3,4200
"213","Gentoo",46.2,5300
"214","Gentoo",45.7,4400
"215","Gentoo",54.3,5650
"216","Gentoo",45.8,4700
"217","Gentoo",49.8,5700
"218","Gentoo",46.2,4650
"219","Gentoo",49.5,5800
"220","Gentoo",43.5,4700
"221","Gentoo",50.7,5550
"222","Gentoo",47.7,4750
"223","Gentoo",46.4,5000
"224","Gentoo",48.2,5100
"225","Gentoo",46.5,5200
"226","Gentoo",46.4,4700
"227","Gentoo",48.6,5800
"228","Gentoo",47.5,4600
"229","Gentoo",51.1,6000
"230","Gentoo",45.2,4750
"231","Gentoo",45.2,5950
"232","Gentoo",49.1,4625
"233","Gentoo",52.5,5450
"234","Gentoo",47.4,4725
"235","Gentoo",50,5350
"236","Gentoo",44.9,4750
"237","Gentoo",50.8,5600
"238","Gentoo",43.4,4600
"239","Gentoo",51.3,5300
"240","Gentoo",47.5,4875
"241","Gentoo",52.1,5550
"242","Gentoo",47.5,4950
"243","Gentoo",52.2,5400
"244","Gentoo",45.5,4750
"245","Gentoo",49.5,5650
"246","Gentoo",44.5,4850
"247","Gentoo",50.8,5200
"248","Gentoo",49.4,4925
"249","Gentoo",46.9,4875
"250","Gentoo",48.4,4625
"251","Gentoo",51.1,5250
"252","Gentoo",48.5,4850
"253","Gentoo",55.9,5600
"254","Gentoo",47.2,4975
"255","Gentoo",49.1,5500
"256","Gentoo",47.3,4725
"257","Gentoo",46.8,5500
"258","Gentoo",41.7,4700
"259","Gentoo",53.4,5500
"260","Gentoo",43.3,4575
"261","Gentoo",48.1,5500
"262","Gentoo",50.5,5000
"263","Gentoo",49.8,5950
"264","Gentoo",43.5,4650
"265","Gentoo",51.5,5500
"266","Gentoo",46.2,4375
"267","Gentoo",55.1,5850
"268","Gentoo",44.5,4875
"269","Gentoo",48.8,6000
"270","Gentoo",47.2,4925
"271","Gentoo",46.8,4850
"272","Gentoo",50.4,5750
"273","Gentoo",45.2,5200
"274","Gentoo",49.9,5400
"275","Chinstrap",46.5,3500
"276","Chinstrap",50,3900
"277","Chinstrap",51.3,3650
"278","Chinstrap",45.4,3525
"279","Chinstrap",52.7,3725
"280","Chinstrap",45.2,3950
"281","Chinstrap",46.1,3250
"282","Chinstrap",51.3,3750
"283","Chinstrap",46,4150
"284","Chinstrap",51.3,3700
"285","Chinstrap",46.6,3800
"286","Chinstrap",51.7,3775
"287","Chinstrap",47,3700
"288","Chinstrap",52,4050
"289","Chinstrap",45.9,3575
"290","Chinstrap",50.5,4050
"291","Chinstrap",50.3,3300
"292","Chinstrap",58,3700
"293","Chinstrap",46.4,3450
"294","Chinstrap",49.2,4400
"295","Chinstrap",42.4,3600
"296","Chinstrap",48.5,3400
"297","Chinstrap",43.2,2900
"298","Chinstrap",50.6,3800
"299","Chinstrap",46.7,3300
"300","Chinstrap",52,4150
"301","Chinstrap",50.5,3400
"302","Chinstrap",49.5,3800
"303","Chinstrap",46.4,3700
"304","Chinstrap",52.8,4550
"305","Chinstrap",40.9,3200
"306","Chinstrap",54.2,4300
"307","Chinstrap",42.5,3350
"308","Chinstrap",51,4100
"309","Chinstrap",49.7,3600
"310","Chinstrap",47.5,3900
"311","Chinstrap",47.6,3850
"312","Chinstrap",52,4800
"313","Chinstrap",46.9,2700
"314","Chinstrap",53.5,4500
"315","Chinstrap",49,3950
"316","Chinstrap",46.2,3650
"317","Chinstrap",50.9,3550
"318","Chinstrap",45.5,3500
"319","Chinstrap",50.9,3675
"320","Chinstrap",50.8,4450
"321","Chinstrap",50.1,3400
"322","Chinstrap",49,4300
"323","Chinstrap",51.5,3250
"324","Chinstrap",49.8,3675
"325","Chinstrap",48.1,3325
"326","Chinstrap",51.4,3950
"327","Chinstrap",45.7,3600
"328","Chinstrap",50.7,4050
"329","Chinstrap",42.5,3350
"330","Chinstrap",52.2,3450
"331","Chinstrap",45.2,3250
"332","Chinstrap",49.3,4050
"333","Chinstrap",50.2,3800
"334","Chinstrap",45.6,3525
"335","Chinstrap",51.9,3950
"336","Chinstrap",46.8,3650
"337","Chinstrap",45.7,3650
"338","Chinstrap",55.8,4000
"339","Chinstrap",43.5,3400
"340","Chinstrap",49.6,3775
"341","Chinstrap",50.8,4100
"342","Chinstrap",50.2,3775
